date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,main
3/4/2000,vegetables,papertowels,shampoo,fruits,yogurt,dinnerrolls,lunchmeat,all-purpose,dishwashingliquid/detergent,vegetables,toiletpaper,mixes,soda,laundrydetergent,poultry,sandwichloaves,lunchmeat,cheeses,butter,shampoo,icecream,flour,soda,toiletpaper,ketchup,individualmeals,soap,bagels,vegetables,handsoap,shampoo,laundrydetergent,,nan,butter
4/4/2000,vegetables,handsoap,milk,handsoap,beef,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,spaghettisauce
5/4/2000,aluminumfoil,sandwichbags,mixes,dinnerrolls,milk,tortillas,milk,fruits,pasta,pasta,lunchmeat,yogurt,cheeses,vegetables,dinnerrolls,waffles,handsoap,cheeses,aluminumfoil,eggs,papertowels,all-purpose,flour,soap,coffee/tea,dishwashingliquid/detergent,,nan,nan,nan,nan,nan,nan,nan,icecream
6/4/2000,toiletpaper,juice,aluminumfoil,all-purpose,beef,juice,papertowels,coffee/tea,individualmeals,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,vegetables
6/4/2000,individualmeals,eggs,icecream,bagels,vegetables,poultry,dinnerrolls,vegetables,butter,mixes,tortillas,spaghettisauce,cereals,tortillas,pork,juice,dinnerrolls,eggs,spaghettisauce,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,sandwichbags
6/4/2000,waffles,flour,lunchmeat,milk,tortillas,sandwichloaves,yogurt,flour,beef,shampoo,cereals,vegetables,waffles,aluminumfoil,handsoap,sugar,poultry,fruits,mixes,sandwichloaves,cereals,spaghettisauce,ketchup,laundrydetergent,toiletpaper,eggs,handsoap,,nan,nan,nan,nan,nan,nan,dinnerrolls
7/4/2000,beef,pork,aluminumfoil,sandwichbags,soda,beef,toiletpaper,poultry,soap,pasta,ketchup,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,poultry
7/4/2000,flour,mixes,dishwashingliquid/detergent,ketchup,ketchup,bagels,all-purpose,handsoap,shampoo,yogurt,handsoap,poultry,vegetables,aluminumfoil,tortillas,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,sugar
7/4/2000,cheeses,sandwichbags,cereals,laundrydetergent,aluminumfoil,yogurt,all-purpose,bagels,shampoo,soap,pasta,yogurt,lunchmeat,vegetables,cereals,fruits,milk,sandwichbags,yogurt,beef,eggs,eggs,eggs,aluminumfoil,tortillas,cereals,spaghettisauce,milk,beef,juice,shampoo,,nan,nan,shampoo
7/4/2000,beef,dinnerrolls,ketchup,pasta,milk,soap,handsoap,coffee/tea,handsoap,vegetables,icecream,eggs,bagels,flour,coffee/tea,individualmeals,fruits,cheeses,soap,soda,bagels,butter,dishwashingliquid/detergent,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,soda
8/4/2000,beef,cheeses,icecream,handsoap,laundrydetergent,ketchup,juice,lunchmeat,butter,vegetables,dishwashingliquid/detergent,vegetables,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,aluminumfoil
8/4/2000,waffles,milk,laundrydetergent,vegetables,dinnerrolls,vegetables,milk,spaghettisauce,toiletpaper,pork,sugar,lunchmeat,toiletpaper,sandwichloaves,ketchup,juice,eggs,coffee/tea,waffles,individualmeals,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,vegetables
9/4/2000,flour,individualmeals,flour,poultry,butter,handsoap,eggs,butter,flour,butter,ketchup,laundrydetergent,spaghettisauce,shampoo,butter,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,bagels
0/4/2000,soap,dinnerrolls,icecream,sandwichloaves,toiletpaper,sandwichbags,juice,ketchup,beef,cheeses,soap,papertowels,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,vegetables
1/4/2000,pork,sugar,sandwichbags,pasta,ketchup,sandwichbags,pork,sandwichloaves,spaghettisauce,milk,bagels,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pasta
2/4/2000,ketchup,pasta,tortillas,sandwichloaves,laundrydetergent,soap,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,coffeetea
2/4/2000,milk,flour,beef,soda,sandwichloaves,icecream,fruits,icecream,fruits,soda,all-purpose,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,dinnerrolls
3/4/2000,icecream,bagels,pork,all-purpose,icecream,icecream,vegetables,pasta,poultry,dishwashingliquid/detergent,icecream,handsoap,soap,butter,ketchup,sandwichbags,butter,fruits,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,vegetables
3/4/2000,individualmeals,papertowels,mixes,ketchup,aluminumfoil,juice,spaghettisauce,fruits,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,shampoo
3/4/2000,pasta,dinnerrolls,aluminumfoil,sandwichloaves,icecream,vegetables,butter,cereals,butter,beef,soda,toiletpaper,cheeses,waffles,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,spaghettisauce
3/4/2000,coffee/tea,pasta,aluminumfoil,lunchmeat,sandwichloaves,sandwichbags,sugar,aluminumfoil,tortillas,individualmeals,juice,vegetables,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,aluminumfoil
4/4/2000,all-purpose,vegetables,papertowels,fruits,poultry,poultry,mixes,vegetables,soda,milk,individualmeals,sugar,yogurt,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,bagels
4/4/2000,dinnerrolls,milk,tortillas,icecream,vegetables,dinnerrolls,poultry,vegetables,all-purpose,dishwashingliquid/detergent,vegetables,cereals,butter,handsoap,papertowels,milk,juice,tortillas,soap,sandwichbags,laundrydetergent,mixes,dinnerrolls,dishwashingliquid/detergent,poultry,pasta,,nan,nan,nan,nan,nan,nan,nan,toiletpaper
5/4/2000,spaghettisauce,sandwichloaves,flour,soap,vegetables,eggs,vegetables,poultry,cereals,cheeses,fruits,vegetables,papertowels,flour,ketchup,pasta,pasta,spaghettisauce,sandwichbags,bagels,toiletpaper,papertowels,vegetables,all-purpose,icecream,mixes,,nan,nan,nan,nan,nan,nan,nan,poultry
6/4/2000,milk,vegetables,dinnerrolls,butter,all-purpose,sandwichloaves,waffles,yogurt,vegetables,coffee/tea,flour,bagels,vegetables,lunchmeat,poultry,toiletpaper,fruits,poultry,cereals,eggs,vegetables,pork,pasta,flour,sandwichbags,sandwichloaves,poultry,cheeses,all-purpose,juice,sandwichloaves,butter,tortillas,,allpurpose
7/4/2000,beef,lunchmeat,beef,mixes,individualmeals,milk,shampoo,all-purpose,yogurt,individualmeals,spaghettisauce,papertowels,cereals,aluminumfoil,flour,bagels,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,eggs
7/4/2000,vegetables,dinnerrolls,sugar,bagels,spaghettisauce,dishwashingliquid/detergent,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,dishwashingliquiddetergent
7/4/2000,coffee/tea,eggs,toiletpaper,dinnerrolls,pasta,papertowels,tortillas,spaghettisauce,waffles,all-purpose,bagels,aluminumfoil,bagels,soda,sugar,ketchup,cereals,shampoo,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,vegetables
8/4/2000,handsoap,sandwichbags,milk,milk,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,beef
8/4/2000,shampoo,eggs,beef,icecream,papertowels,shampoo,individualmeals,shampoo,pasta,milk,coffee/tea,pasta,waffles,pasta,butter,lunchmeat,vegetables,ketchup,lunchmeat,handsoap,bagels,coffee/tea,vegetables,sugar,toiletpaper,eggs,eggs,pasta,pasta,soda,soda,dinnerrolls,,nan,shampoo
9/4/2000,poultry,waffles,aluminumfoil,coffee/tea,toiletpaper,handsoap,mixes,dishwashingliquid/detergent,waffles,aluminumfoil,pork,spaghettisauce,beef,dinnerrolls,vegetables,coffee/tea,vegetables,papertowels,pasta,sugar,juice,dishwashingliquid/detergent,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,bagels
0/4/2000,handsoap,eggs,soda,aluminumfoil,poultry,tortillas,bagels,vegetables,sandwichbags,cheeses,sandwichbags,cereals,mixes,dinnerrolls,flour,pasta,vegetables,bagels,soda,all-purpose,papertowels,mixes,vegetables,poultry,eggs,,nan,nan,nan,nan,nan,nan,nan,nan,poultry
1/4/2000,spaghettisauce,tortillas,spaghettisauce,vegetables,soda,spaghettisauce,pasta,sandwichbags,spaghettisauce,yogurt,bagels,toiletpaper,shampoo,vegetables,shampoo,icecream,dinnerrolls,papertowels,dinnerrolls,poultry,shampoo,butter,soap,butter,individualmeals,spaghettisauce,sandwichloaves,laundrydetergent,juice,,nan,nan,nan,nan,sandwichloaves
1/4/2000,bagels,sandwichloaves,butter,vegetables,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pork
1/4/2000,dinnerrolls,pasta,soap,ketchup,papertowels,vegetables,juice,sugar,icecream,sandwichbags,spaghettisauce,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,coffeetea
1/4/2000,spaghettisauce,papertowels,individualmeals,poultry,soap,icecream,papertowels,icecream,coffee/tea,soap,milk,soap,eggs,cereals,soap,shampoo,dinnerrolls,soap,butter,eggs,pork,aluminumfoil,lunchmeat,soap,cheeses,mixes,aluminumfoil,ketchup,sandwichloaves,cheeses,vegetables,,nan,nan,spaghettisauce
2/4/2000,waffles,shampoo,mixes,vegetables,shampoo,flour,waffles,soda,sandwichloaves,vegetables,sandwichloaves,soap,laundrydetergent,vegetables,milk,juice,vegetables,icecream,spaghettisauce,coffee/tea,cheeses,vegetables,pork,soap,cereals,individualmeals,dishwashingliquid/detergent,dinnerrolls,all-purpose,soap,lunchmeat,,nan,nan,flour
2/4/2000,sugar,coffee/tea,all-purpose,juice,mixes,soda,yogurt,vegetables,all-purpose,cereals,soap,soda,handsoap,vegetables,milk,toiletpaper,juice,vegetables,eggs,yogurt,spaghettisauce,handsoap,soap,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,handsoap
3/4/2000,individualmeals,juice,individualmeals,vegetables,vegetables,sugar,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cheeses
3/4/2000,bagels,spaghettisauce,beef,sandwichloaves,fruits,laundrydetergent,icecream,cereals,lunchmeat,poultry,bagels,all-purpose,papertowels,pasta,bagels,flour,eggs,bagels,mixes,vegetables,poultry,milk,dishwashingliquid/detergent,cheeses,,nan,nan,nan,nan,nan,nan,nan,nan,nan,juice
4/4/2000,juice,dishwashingliquid/detergent,milk,individualmeals,spaghettisauce,toiletpaper,flour,yogurt,waffles,tortillas,fruits,papertowels,cereals,pasta,spaghettisauce,lunchmeat,milk,soap,icecream,bagels,aluminumfoil,sandwichloaves,juice,waffles,flour,icecream,,nan,nan,nan,nan,nan,nan,nan,sandwichloaves
5/4/2000,pasta,eggs,shampoo,sugar,papertowels,ketchup,poultry,sugar,soda,butter,papertowels,pasta,waffles,lunchmeat,papertowels,ketchup,vegetables,yogurt,soap,papertowels,vegetables,tortillas,ketchup,beef,dishwashingliquid/detergent,dinnerrolls,cereals,mixes,fruits,vegetables,,nan,nan,nan,allpurpose
6/4/2000,cheeses,butter,aluminumfoil,vegetables,vegetables,poultry,handsoap,toiletpaper,icecream,sugar,mixes,vegetables,vegetables,milk,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,sugar
6/4/2000,butter,spaghettisauce,handsoap,soap,sandwichbags,ketchup,icecream,waffles,flour,pasta,soap,pasta,all-purpose,dishwashingliquid/detergent,laundrydetergent,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,allpurpose
7/4/2000,bagels,fruits,mixes,vegetables,tortillas,cereals,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,poultry
7/4/2000,milk,bagels,pork,yogurt,icecream,eggs,individualmeals,soda,vegetables,pasta,pork,waffles,waffles,pork,spaghettisauce,dishwashingliquid/detergent,juice,bagels,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,vegetables
7/4/2000,fruits,spaghettisauce,pasta,mixes,pasta,fruits,dishwashingliquid/detergent,juice,aluminumfoil,flour,individualmeals,yogurt,ketchup,fruits,toiletpaper,eggs,flour,handsoap,milk,dinnerrolls,laundrydetergent,eggs,toiletpaper,juice,dinnerrolls,toiletpaper,all-purpose,shampoo,beef,cheeses,all-purpose,coffee/tea,juice,,milk
8/4/2000,eggs,cheeses,cereals,juice,handsoap,soap,soap,yogurt,pork,vegetables,dishwashingliquid/detergent,vegetables,beef,bagels,cheeses,papertowels,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,vegetables
9/4/2000,butter,all-purpose,dinnerrolls,vegetables,beef,vegetables,milk,laundrydetergent,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,allpurpose
0/4/2000,soda,bagels,poultry,vegetables,tortillas,milk,soap,yogurt,lunchmeat,lunchmeat,lunchmeat,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,spaghettisauce
0/4/2000,individualmeals,poultry,individualmeals,soda,dishwashingliquid/detergent,eggs,pork,coffee/tea,handsoap,beef,icecream,dinnerrolls,lunchmeat,individualmeals,icecream,vegetables,vegetables,poultry,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,allpurpose
1/5/2000,pasta,cereals,individualmeals,vegetables,toiletpaper,coffee/tea,toiletpaper,mixes,fruits,vegetables,shampoo,soap,toiletpaper,soap,dinnerrolls,dinnerrolls,pasta,vegetables,soda,pasta,icecream,pasta,handsoap,soda,,nan,nan,nan,nan,nan,nan,nan,nan,nan,papertowels
1/5/2000,sandwichloaves,eggs,soap,pasta,vegetables,dinnerrolls,papertowels,soda,coffee/tea,poultry,cheeses,vegetables,spaghettisauce,butter,shampoo,handsoap,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,milk
2/5/2000,juice,cereals,lunchmeat,waffles,ketchup,pasta,juice,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,vegetables
3/5/2000,beef,sandwichbags,shampoo,fruits,cheeses,flour,laundrydetergent,waffles,vegetables,soap,waffles,eggs,individualmeals,eggs,aluminumfoil,milk,beef,yogurt,juice,vegetables,ketchup,cereals,individualmeals,soap,sugar,individualmeals,coffee/tea,sandwichbags,pasta,vegetables,,nan,nan,nan,flour
3/5/2000,spaghettisauce,flour,milk,beef,laundrydetergent,tortillas,cereals,coffee/tea,sandwichloaves,beef,toiletpaper,milk,yogurt,soda,soda,vegetables,beef,cereals,sandwichbags,all-purpose,spaghettisauce,flour,dinnerrolls,toiletpaper,toiletpaper,waffles,yogurt,individualmeals,soda,soap,cheeses,lunchmeat,,nan,shampoo
4/5/2000,individualmeals,lunchmeat,soda,vegetables,sugar,mixes,vegetables,dishwashingliquid/detergent,poultry,bagels,coffee/tea,handsoap,sugar,spaghettisauce,sandwichbags,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,laundrydetergent
4/5/2000,sugar,yogurt,butter,milk,poultry,handsoap,mixes,bagels,tortillas,vegetables,spaghettisauce,flour,eggs,poultry,mixes,vegetables,poultry,handsoap,coffee/tea,waffles,eggs,sandwichloaves,icecream,ketchup,sugar,bagels,milk,toiletpaper,milk,dinnerrolls,beef,flour,,nan,sandwichbags
5/5/2000,lunchmeat,pasta,laundrydetergent,sandwichloaves,vegetables,poultry,yogurt,laundrydetergent,sandwichbags,aluminumfoil,vegetables,tortillas,milk,soap,sandwichloaves,juice,handsoap,coffee/tea,vegetables,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,juice
5/5/2000,sandwichloaves,toiletpaper,yogurt,fruits,butter,cereals,vegetables,waffles,beef,lunchmeat,papertowels,mixes,papertowels,dinnerrolls,tortillas,bagels,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,poultry
5/5/2000,waffles,juice,lunchmeat,vegetables,shampoo,dinnerrolls,all-purpose,sandwichloaves,handsoap,waffles,spaghettisauce,shampoo,fruits,eggs,tortillas,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,eggs
5/5/2000,flour,waffles,soap,vegetables,tortillas,fruits,sugar,papertowels,lunchmeat,lunchmeat,spaghettisauce,poultry,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,papertowels
5/5/2000,vegetables,flour,milk,soda,laundrydetergent,yogurt,cheeses,yogurt,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,eggs
5/5/2000,butter,poultry,aluminumfoil,vegetables,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,butter
6/5/2000,yogurt,cereals,sandwichbags,laundrydetergent,fruits,flour,soda,sandwichloaves,fruits,aluminumfoil,individualmeals,coffee/tea,spaghettisauce,mixes,tortillas,spaghettisauce,all-purpose,sugar,icecream,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,vegetables
7/5/2000,dinnerrolls,dishwashingliquid/detergent,papertowels,eggs,pasta,icecream,ketchup,sugar,flour,pasta,all-purpose,yogurt,pork,cereals,cereals,aluminumfoil,beef,aluminumfoil,dinnerrolls,mixes,laundrydetergent,papertowels,icecream,sugar,,nan,nan,nan,nan,nan,nan,nan,nan,nan,butter
7/5/2000,bagels,juice,cereals,mixes,fruits,individualmeals,aluminumfoil,sandwichloaves,laundrydetergent,papertowels,all-purpose,icecream,cereals,soap,aluminumfoil,papertowels,cheeses,sandwichbags,toiletpaper,butter,vegetables,milk,beef,fruits,sandwichbags,poultry,all-purpose,,nan,nan,nan,nan,nan,nan,papertowels
8/5/2000,pork,beef,vegetables,coffee/tea,cheeses,butter,bagels,waffles,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,fruits
9/5/2000,soda,beef,juice,sugar,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,laundrydetergent
9/5/2000,fruits,individualmeals,vegetables,spaghettisauce,handsoap,sandwichloaves,vegetables,sugar,pork,laundrydetergent,sandwichloaves,dishwashingliquid/detergent,yogurt,bagels,soap,aluminumfoil,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,sandwichloaves
9/5/2000,sandwichloaves,bagels,pasta,toiletpaper,ketchup,shampoo,beef,poultry,milk,beef,laundrydetergent,juice,sugar,all-purpose,cheeses,fruits,handsoap,laundrydetergent,yogurt,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,bagels
0/5/2000,soap,yogurt,sandwichloaves,waffles,handsoap,poultry,toiletpaper,toiletpaper,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cheeses
0/5/2000,spaghettisauce,sandwichbags,icecream,yogurt,bagels,tortillas,all-purpose,sandwichbags,icecream,eggs,individualmeals,butter,mixes,all-purpose,ketchup,spaghettisauce,tortillas,milk,laundrydetergent,all-purpose,butter,ketchup,cereals,dinnerrolls,dishwashingliquid/detergent,pork,poultry,soda,icecream,vegetables,soda,soda,,nan,sugar
0/5/2000,handsoap,icecream,vegetables,bagels,milk,aluminumfoil,dinnerrolls,toiletpaper,yogurt,ketchup,bagels,pasta,soap,beef,yogurt,yogurt,handsoap,fruits,dinnerrolls,vegetables,dishwashingliquid/detergent,vegetables,soap,beef,icecream,individualmeals,pasta,beef,aluminumfoil,yogurt,dinnerrolls,vegetables,sandwichloaves,,ketchup
1/5/2000,sugar,mixes,vegetables,poultry,waffles,pork,sandwichbags,toiletpaper,all-purpose,tortillas,dinnerrolls,handsoap,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,sandwichbags
1/5/2000,eggs,mixes,lunchmeat,fruits,coffee/tea,yogurt,aluminumfoil,flour,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,fruits
2/5/2000,poultry,soap,butter,sandwichbags,beef,milk,all-purpose,pasta,dinnerrolls,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,handsoap
3/5/2000,bagels,tortillas,dinnerrolls,flour,vegetables,ketchup,juice,toiletpaper,milk,all-purpose,spaghettisauce,shampoo,spaghettisauce,handsoap,lunchmeat,mixes,aluminumfoil,ketchup,sandwichloaves,eggs,pork,toiletpaper,eggs,beef,butter,toiletpaper,flour,tortillas,waffles,vegetables,coffee/tea,beef,dishwashingliquid/detergent,,yogurt
4/5/2000,waffles,laundrydetergent,pasta,toiletpaper,juice,sugar,milk,cereals,flour,soda,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,vegetables
4/5/2000,papertowels,pork,cereals,fruits,aluminumfoil,bagels,butter,dishwashingliquid/detergent,aluminumfoil,eggs,lunchmeat,flour,laundrydetergent,vegetables,coffee/tea,vegetables,vegetables,ketchup,handsoap,yogurt,vegetables,fruits,pork,soap,dishwashingliquid/detergent,,nan,nan,nan,nan,nan,nan,nan,nan,flour
5/5/2000,butter,individualmeals,cereals,toiletpaper,individualmeals,soda,waffles,juice,butter,sandwichloaves,individualmeals,yogurt,soda,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,butter
5/5/2000,ketchup,flour,pasta,soda,pork,handsoap,eggs,sandwichbags,soap,juice,cheeses,cereals,dishwashingliquid/detergent,lunchmeat,dinnerrolls,flour,cereals,papertowels,vegetables,individualmeals,dinnerrolls,bagels,flour,icecream,butter,individualmeals,waffles,lunchmeat,pork,beef,,nan,nan,nan,vegetables
5/5/2000,cereals,dinnerrolls,juice,aluminumfoil,fruits,spaghettisauce,milk,icecream,handsoap,cheeses,ketchup,milk,lunchmeat,cereals,coffee/tea,juice,juice,fruits,cereals,coffee/tea,coffee/tea,handsoap,coffee/tea,sugar,aluminumfoil,all-purpose,yogurt,mixes,icecream,,nan,nan,nan,nan,poultry
6/5/2000,shampoo,beef,sugar,mixes,pasta,toiletpaper,eggs,dinnerrolls,poultry,soap,laundrydetergent,spaghettisauce,laundrydetergent,cereals,sandwichloaves,handsoap,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,vegetables
7/5/2000,vegetables,icecream,fruits,ketchup,ketchup,laundrydetergent,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,papertowels
7/5/2000,vegetables,waffles,mixes,vegetables,bagels,dishwashingliquid/detergent,sandwichloaves,all-purpose,vegetables,waffles,dinnerrolls,sugar,aluminumfoil,waffles,bagels,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,fruits
7/5/2000,vegetables,all-purpose,coffee/tea,ketchup,ketchup,handsoap,shampoo,fruits,individualmeals,eggs,sandwichbags,cheeses,cereals,yogurt,laundrydetergent,lunchmeat,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ketchup
7/5/2000,toiletpaper,tortillas,lunchmeat,eggs,beef,soda,poultry,ketchup,butter,juice,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cereals
7/5/2000,beef,pasta,coffee/tea,vegetables,toiletpaper,beef,individualmeals,cheeses,eggs,eggs,spaghettisauce,tortillas,waffles,vegetables,poultry,fruits,soda,lunchmeat,beef,waffles,sandwichloaves,butter,soap,poultry,soda,,nan,nan,nan,nan,nan,nan,nan,nan,dishwashingliquiddetergent
7/5/2000,sandwichbags,butter,cheeses,papertowels,bagels,cereals,sandwichbags,bagels,poultry,mixes,spaghettisauce,sandwichloaves,aluminumfoil,shampoo,butter,soda,mixes,handsoap,ketchup,mixes,poultry,cereals,vegetables,cheeses,flour,,nan,nan,nan,nan,nan,nan,nan,nan,cheeses
7/5/2000,spaghettisauce,vegetables,soda,mixes,fruits,aluminumfoil,pork,vegetables,shampoo,juice,beef,waffles,papertowels,tortillas,tortillas,mixes,waffles,waffles,soda,icecream,poultry,soda,juice,toiletpaper,tortillas,vegetables,soda,lunchmeat,coffee/tea,soda,,nan,nan,nan,yogurt
8/5/2000,sugar,vegetables,waffles,milk,shampoo,handsoap,laundrydetergent,eggs,eggs,vegetables,milk,butter,milk,poultry,tortillas,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,lunchmeat
8/5/2000,handsoap,ketchup,fruits,all-purpose,fruits,sugar,vegetables,vegetables,soda,cereals,soda,sugar,cheeses,individualmeals,juice,waffles,sandwichloaves,papertowels,icecream,beef,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,coffeetea
